,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,708.5978615,-0.378822899,0.173154928,-2.18776851,0.028686469,0.138469547
ENSG00000000419,520.2962969,0.203789263,0.100742234,2.022878143,0.043085712,0.182997561
ENSG00000000457,237.1621038,0.034063065,0.126475654,0.269325071,0.78767954,0.929804639
ENSG00000000460,57.93238032,-0.117156354,0.301582643,-0.388471807,0.697666914,0.894230813
ENSG00000000971,5817.310817,0.440979296,0.258775627,1.704099035,0.088362587,0.297042175
ENSG00000001036,1282.100688,-0.241909676,0.119712758,-2.020751013,0.043305546,0.183497591
ENSG00000001084,609.8887112,-0.029599588,0.231575477,-0.127818319,0.898292752,0.970306036
ENSG00000001167,369.3405636,-0.489601634,0.210924784,-2.321214348,0.020275278,0.10766126
ENSG00000001460,183.2368927,-0.133360427,0.165262126,-0.806963039,0.419687778,0.716468937
ENSG00000001461,2813.837423,-0.042710247,0.291099861,-0.146720261,0.883352826,0.963852716
ENSG00000001497,539.8215747,-0.002459014,0.098112243,-0.025063276,0.980004492,0.994767181
ENSG00000001561,114.0370778,0.269617587,0.864551615,0.311858289,0.755148223,0.917917298
ENSG00000001617,598.664307,-0.247532222,0.171235099,-1.445569417,0.14829801,0.408573886
ENSG00000001626,5.764935382,-1.05603403,0.638825475,-1.653086908,0.098313177,0.317942985
ENSG00000001629,1779.817863,-0.226219901,0.131676031,-1.718003642,0.085795951,0.290910042
ENSG00000001630,54.72746768,0.012260095,0.300792853,0.040759264,0.967487815,0.991246037
ENSG00000001631,785.4496167,-0.036353987,0.108016708,-0.336558927,0.736449423,0.911160718
ENSG00000002016,183.8596399,-0.308475385,0.160971122,-1.916339903,0.055321845,0.21798499
ENSG00000002079,1.427727307,-2.032671033,1.564460413,-1.299279301,0.193848095,NA
ENSG00000002330,178.0560836,0.089997739,0.145155846,0.620007675,0.535252734,0.798367672
ENSG00000002549,1253.63028,0.180144677,0.16741241,1.0760533,0.281903419,0.587844125
ENSG00000002586,8285.39793,0.088171441,0.122413195,0.720277265,0.4713543,0.754998707
ENSG00000002745,6.899829542,-0.282449054,0.967489234,-0.291940255,0.770332304,0.923291771
ENSG00000002746,108.4421515,0.112567073,0.296131416,0.380125399,0.703852333,0.897081959
ENSG00000002822,349.8061861,-0.15758423,0.133787992,-1.177865278,0.23885032,0.539419749
ENSG00000002834,7168.801726,0.398604511,0.102411413,3.892188366,9.93E-05,0.001525881
ENSG00000002919,250.5076769,0.391428877,0.147019761,2.662423566,0.007758019,0.052197265
ENSG00000002933,540.2778715,0.402514946,1.42162581,0.283137055,0.777071777,0.925756255
ENSG00000003056,1065.266528,-0.071345589,0.091712913,-0.777923055,0.436614376,0.730005199
ENSG00000003096,377.9752612,-0.920168247,0.187042815,-4.919559452,8.67E-07,2.43E-05
ENSG00000003137,104.5151948,-1.139638409,0.54375296,-2.09587532,0.036093253,0.162525266
ENSG00000003249,116.3490268,-0.322592058,0.323046911,-0.998591988,0.317992383,0.626226378
ENSG00000003393,851.0908753,0.173188861,0.157343209,1.100707567,0.271023952,0.575652373
ENSG00000003400,80.15671791,-0.388709621,0.370674615,-1.04865455,0.29433714,0.601044403
ENSG00000003402,2546.609326,1.183447518,0.163539129,7.236479281,4.60E-13,5.47E-11
ENSG00000003436,4469.507666,-0.209181774,0.191602045,-1.091751262,0.274942447,0.579563319
ENSG00000003509,290.8140366,-0.052719221,0.124104587,-0.424796717,0.670984871,0.879552161
ENSG00000003756,2117.454003,-0.185984243,0.090821999,-2.047788483,0.040580729,0.175297708
ENSG00000003987,25.50433939,0.988115135,0.327203674,3.019877874,0.002528766,0.022153773
ENSG00000003989,38.4395983,0.674485896,0.67081555,1.005471467,0.314669882,0.62301357
ENSG00000004059,1225.350491,0.369228733,0.104190192,3.543795515,0.000394411,0.004924121
ENSG00000004139,84.88233113,-0.163655573,0.18145564,-0.901904031,0.36710785,0.672598852
ENSG00000004142,1460.115205,0.14710429,0.124780574,1.178903783,0.238436491,0.538881687
ENSG00000004399,3634.480003,-0.012879924,0.238578949,-0.053986003,0.956946316,0.988068662
ENSG00000004455,1224.834635,0.051685571,0.167721625,0.308162833,0.757958432,0.91924424
ENSG00000004468,1.317435996,-1.331137972,1.433442427,-0.928630231,0.353080749,NA
ENSG00000004478,466.4347304,-0.069887609,0.122456898,-0.570711903,0.568194949,0.818396151
ENSG00000004487,1237.793981,-0.298877922,0.083025334,-3.599840044,0.000318413,0.004091818
ENSG00000004534,1285.223732,-0.191936916,0.137601758,-1.394872557,0.163054274,0.431228559
ENSG00000004660,78.1195926,-0.664894016,0.357891201,-1.85781046,0.063195935,0.237986329
ENSG00000004700,1035.327373,0.366694603,0.116680886,3.142713561,0.001673896,0.015913674
ENSG00000004766,478.9237813,-0.030421779,0.098852646,-0.307748761,0.758273513,0.919244678
ENSG00000004776,2774.548562,-0.076709991,0.296952769,-0.258323877,0.79615696,0.934012389
ENSG00000004777,97.18096928,-0.384411434,0.289278011,-1.328865034,0.183892502,0.462112697
ENSG00000004779,365.6753402,0.09614122,0.136537698,0.70413682,0.481347572,0.763170485
ENSG00000004799,914.3705947,2.544058457,0.901175649,2.823043944,0.004757005,0.03596822
ENSG00000004838,12.80737672,-0.433727657,0.456685429,-0.949729573,0.342249679,0.651072422
ENSG00000004846,17.99894488,-1.881300509,0.6998346,-2.68820734,0.007183678,0.049342567
ENSG00000004864,150.4418684,0.00688175,0.236772194,0.029064858,0.976812863,0.994032321
ENSG00000004866,412.126309,-0.582168519,0.178226033,-3.266461743,0.001089005,0.011317173
ENSG00000004897,1518.080675,0.054320523,0.075708663,0.71749416,0.473069238,0.755961334
ENSG00000004961,437.4312887,-0.154214334,0.147902975,-1.042672295,0.297100093,0.604808559
